TimeStamps,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,Trial,Activity
2018/7/4 12:04:17,-1.24,-0.557,0.227,-75.854,44.024,315.915,1,1
2018/7/4 12:04:17,-1.24,-0.557,0.227,-28.78,55.549,344.146,1,1
2018/7/4 12:04:17,-1.884,-0.687,0.251,27.256,87.134,372.012,1,1
2018/7/4 12:04:17,-1.884,-0.687,0.251,2.866,117.683,356.463,1,1
2018/7/4 12:04:17,-1.597,-0.646,0.112,10,30.671,126.768,1,1
2018/7/4 12:04:18,-1.096,-0.204,0.179,21.524,40.427,26.89,1,1
2018/7/4 12:04:18,-0.86,-0.527,0.235,-103.537,3.293,-39.939,1,1
2018/7/4 12:04:18,-0.86,-0.527,0.235,-127.866,-0.366,-21.28,1,1
2018/7/4 12:04:18,-0.827,-0.458,0.128,-92.317,2.561,-5.366,1,1
2018/7/4 12:04:18,-0.827,-0.458,0.128,-30.976,6.707,-10,1,1
2018/7/4 12:04:18,-1.089,-0.367,0.094,11.463,8.232,-30.183,1,1
2018/7/4 12:04:18,-1.238,-0.287,0.144,22.134,5.915,-86.707,1,1
2018/7/4 12:04:18,-1.238,-0.287,0.144,25.488,9.817,-114.817,1,1
2018/7/4 12:04:18,-1.178,-0.215,0.086,73.171,-2.805,-119.878,1,1
2018/7/4 12:04:18,-1.003,-0.017,0.084,101.22,-19.817,-88.598,1,1
2018/7/4 12:04:18,-1.003,-0.017,0.084,20.671,-14.573,-81.098,1,1
2018/7/4 12:04:18,-0.876,-0.185,0.06,-55.488,-8.11,-70.427,1,1
2018/7/4 12:04:18,-0.876,-0.185,0.06,-69.39,-5.671,-34.878,1,1
2018/7/4 12:04:18,-0.857,-0.299,0.013,4.512,0.061,37.561,1,1
2018/7/4 12:04:18,-0.958,-0.267,0.081,23.537,3.537,65.305,1,1
2018/7/4 12:04:18,-0.958,-0.267,0.081,17.5,9.512,85.549,1,1
2018/7/4 12:04:18,-1.093,-0.312,0.119,8.171,14.573,96.463,1,1
2018/7/4 12:04:18,-1.093,-0.312,0.119,8.476,14.634,96.646,1,1
2018/7/4 12:04:18,-1.111,-0.34,0.113,17.744,12.561,87.439,1,1
2018/7/4 12:04:18,-1.041,-0.321,0.115,16.037,2.439,48.598,1,1
2018/7/4 12:04:19,-1.004,-0.324,0.095,-9.329,-4.024,7.744,1,1
2018/7/4 12:04:19,-0.991,-0.314,0.068,-15.061,-5.183,-21.098,1,1
2018/7/4 12:04:19,-0.991,-0.314,0.068,-10.915,-3.963,-30.488,1,1
2018/7/4 12:04:19,-1.01,-0.292,0.072,-4.207,-2.805,-38.049,1,1
2018/7/4 12:04:19,-1.01,-0.292,0.072,2.317,-0.793,-44.939,1,1
2018/7/4 12:04:19,-1.026,-0.264,0.086,7.805,1.829,-49.573,1,1
2018/7/4 12:04:19,-1.026,-0.264,0.086,12.622,1.89,-51.463,1,1
2018/7/4 12:04:19,-1.005,-0.231,0.093,12.683,0.854,-42.256,1,1
2018/7/4 12:04:19,-0.97,-0.223,0.097,7.927,1.098,-32.134,1,1
2018/7/4 12:04:19,-0.97,-0.223,0.097,3.11,1.951,-19.39,1,1
2018/7/4 12:04:19,-0.958,-0.24,0.096,0.61,1.829,-5.427,1,1
2018/7/4 12:04:19,-0.966,-0.267,0.103,-4.756,2.927,20.793,1,1
2018/7/4 12:04:19,-0.966,-0.267,0.103,-5.976,2.988,32.256,1,1
2018/7/4 12:04:19,-0.989,-0.29,0.108,-8.841,3.11,39.939,1,1
2018/7/4 12:04:19,-0.989,-0.29,0.108,-21.829,3.537,42.5,1,1
2018/7/4 12:04:19,-1.039,-0.35,0.076,-31.159,2.134,41.585,1,1
2018/7/4 12:04:19,-1.032,-0.35,0.065,0.305,-0.366,33.232,1,1
2018/7/4 12:04:19,-1.032,-0.35,0.065,3.72,0.488,22.866,1,1
2018/7/4 12:04:19,-0.982,-0.324,0.095,2.073,2.622,10.976,1,1
2018/7/4 12:04:19,-0.982,-0.324,0.095,5.061,1.22,-0.122,1,1
2018/7/4 12:04:20,-1.05,-0.176,0.233,10.366,-6.707,-9.39,1,1
2018/7/4 12:04:20,-1.05,-0.176,0.233,-57.5,-30.976,-33.11,1,1
2018/7/4 12:04:20,-1.098,-0.133,0.158,-535.183,-72.805,-137.378,1,1
2018/7/4 12:04:20,-0.887,-0.946,-0.381,-482.744,-49.024,-136.89,1,1
2018/7/4 12:04:20,-0.887,-0.946,-0.381,-127.317,6.829,-97.805,1,1
