TimeStamps,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,Trial,Activity
2018/7/4 12:04:17,-1.24,-0.557,0.227,-75.854,44.024,315.915,1,1
2018/7/4 12:04:18,-1.096,-0.204,0.179,21.524,40.427,26.89,1,1
2018/7/4 12:04:19,-1.004,-0.324,0.095,-9.329,-4.024,7.744,1,1
2018/7/4 12:04:20,-1.05,-0.176,0.233,10.366,-6.707,-9.39,1,1
2018/7/4 12:04:37,-1.006,-0.269,0.151,-1.707,-1.098,4.756,2,1
2018/7/4 12:04:38,-0.961,-0.299,0.062,-17.073,0.854,6.22,2,1
2018/7/4 12:04:56,-0.943,-0.285,0.073,-33.659,-12.988,-1.768,3,1
2018/7/4 12:05:19,-1.16,0.08,0.765,19.451,-15.488,4.207,1,2
2018/7/4 12:05:39,-0.618,-0.948,-0.65,-159.024,-117.744,-270.549,2,2
2018/7/4 12:05:40,-0.607,-1.104,0.227,-106.159,72.927,-202.317,2,2
2018/7/4 12:05:58,-0.966,-0.351,0.162,-5.549,8.963,17.988,3,2
2018/7/4 12:06:21,-1.17,-0.063,0.475,16.098,56.524,5.671,1,3
2018/7/4 12:06:40,-1.292,-0.147,-0.011,10.61,-122.195,102.683,2,3
2018/7/4 12:06:41,-1.457,-0.324,-0.277,-253.11,-177.073,36.585,2,3
2018/7/4 12:07:00,-0.949,-0.062,0.264,91.707,-23.354,99.695,3,3
2018/7/4 12:07:01,-0.949,-0.062,0.264,-146.829,-66.159,124.817,3,3
2018/7/4 12:07:22,-0.95,-0.359,0.144,21.098,15.671,22.622,1,4
2018/7/4 12:07:41,-0.893,-0.218,0.263,17.5,7.195,-41.341,2,4
2018/7/4 12:08:00,-0.311,-0.539,0.047,290.793,-57.134,22.927,3,4
2018/7/4 12:08:21,-0.982,-0.336,0.168,8.11,5.854,-23.72,1,5
2018/7/4 12:08:39,-0.996,0.459,0.043,547.134,111.159,-61.402,2,5
2018/7/4 12:09:03,-0.943,-0.229,0.197,54.512,0.061,-23.049,3,5
2018/7/4 12:13:54,-0.958,-0.396,0.193,-109.512,-40,-22.744,1,7
2018/7/4 12:13:55,-0.947,-0.39,0.261,2.744,5.244,-19.817,1,7
2018/7/4 12:13:56,-0.947,-0.381,0.247,0.976,-3.11,-5.366,1,7
2018/7/4 12:13:57,-0.93,-0.39,0.284,-0.183,1.646,-2.317,1,7
2018/7/4 12:13:58,-0.939,-0.398,0.261,-7.134,-3.415,-1.829,1,7
2018/7/4 12:13:59,-0.974,-0.394,0.167,12.561,17.195,1.159,1,7
2018/7/4 12:14:00,-0.985,-0.248,0.189,-43.049,-48.659,-64.695,1,7
2018/7/4 12:14:01,-0.953,-0.303,0.154,-20.427,-25.976,-52.744,1,7
2018/7/4 12:14:02,-0.98,-0.307,0.189,18.963,-12.561,-44.146,1,7
2018/7/4 12:14:03,-0.971,-0.318,0.178,3.841,-5.915,-15.305,1,7
2018/7/4 12:14:04,-0.987,-0.331,0.193,0.183,0.61,-7.317,1,7
2018/7/4 12:14:05,-1.018,-0.355,0.238,-29.695,-7.195,-10.305,1,7
2018/7/4 12:14:06,0.745,0.238,0.621,-6.28,0.854,-8.841,1,7
2018/7/4 12:14:07,0.492,0.364,0.771,-28.72,46.951,18.659,1,7
2018/7/4 12:14:08,-0.789,-0.528,0.155,56.098,17.439,0.549,1,7
2018/7/4 12:14:09,-0.968,-0.425,0.16,-1.098,12.378,11.402,1,7
2018/7/4 12:14:10,-0.98,-0.348,0.216,8.963,6.463,-9.573,1,7
2018/7/4 12:14:11,-0.694,-0.663,-0.014,12.805,4.146,-33.598,1,7
2018/7/4 12:14:12,-0.984,-0.261,0.271,13.171,-1.829,-31.159,1,7
2018/7/4 12:14:13,-1.003,-0.311,0.211,9.024,-14.634,-3.659,1,7
2018/7/4 12:14:14,-0.964,-0.321,0.197,-2.988,-5.976,0,1,7
2018/7/4 12:14:15,0.293,0.227,0.552,0.122,53.78,-143.354,1,7
2018/7/4 12:14:16,0.753,0.129,0.661,5.549,-22.988,-0.732,1,7
2018/7/4 12:14:17,0.555,0.293,0.63,-12.378,-6.402,19.573,1,7
2018/7/4 12:14:18,-0.831,-0.524,0.104,-81.037,-31.829,-39.634,1,7
